Location,ManufactureDate,ReadDate,AgeInDays,Model,MileageKM,MileagePerDay,MaxRangeKM,ReplacementBatt,MileageSinceNewKM,Battery AgeDays,WattHoursPerKM,OriginalRangeKM,SuperchargeFreq,MaxChargeFreq,RunToEmptyFreq,DailyChargeLevel,Cycles
USA,12-May-17,21-Mar-18,313,Model S 75,14638,46.6,242,No,14638,314,297,249,a few times a year,a few times a year,once or twice a year,90%,59.88
USA,19-Aug-16,23-Mar-18,581,Model S P90D,26434,45.4,253,No,26434,582,284,274,a few times a year,a few times a year,once or twice a year,70%,94.88
USA,4-Jun-14,26-Mar-18,1391,Model S 60,31000,22.3,185,No,31000,"1,392",,210,,,,,
USA,7-Jun-13,28-Mar-18,1755,Model S P85,100112,57,243,No,100112,"1,756",307,269,weekly,a few times a year,once or twice a year,90%,414.29
USA,10-May-17,29-Mar-18,323,Model S 75,9235,28.5,236,No,9235,324,265,249,twice a month,a few times a year,a few times a year,80%,34.13
USA,30-Jun-16,8-Apr-18,647,Model S 90D,26566,41,289,No,26566,648,285,295,twice a month,a few times a year,never,80%,93.57
USA,5-Feb-13,11-Apr-18,1891,Model S 85,61874,32.7,252,No,61874,"1,892",297,269,a few times a year,a few times a year,a few times a year,90%,244.94
USA,31-Dec-17,11-Apr-18,101,Model 3 LR,1152,11.3,312,No,1152,102,218,310,never,once or twice a year,never,90%,3.18
USA,31-Dec-12,14-Apr-18,1930,Model S P85,47991,24.9,255,No,47991,"1,931",330,269,a few times a year,a few times a year,once or twice a year,70%,208.6
USA,1-Sep-16,1-Apr-18,577,Model X 90D,17812,30.8,247,No,17812,578,,260,twice a month,once or twice a year,never,70%,
USA,9-Feb-15,18-Jan-18,1074,Model S 85,35339,32.9,263,No,35339,"1,075",280,269,monthly,a few times a year,never,70%,129.16
USA,1-Jun-16,24-Apr-18,692,Model X 90D,37883,54.7,242,No,37883,693,315,260,a few times a year,weekly,a few times a year,80%,150.23
USA,7-Feb-15,24-Apr-18,1172,Model S 85D,45259,38.6,244,No,45259,"1,173",315,273,a few times a year,once or twice a year,never,70%,193.17
USA,7-Jul-17,23-Apr-18,290,Model S 100D,5923,20.4,336,No,5923,291,315,335,a few times a year,a few times a year,never,70%,18.82
USA,2-Apr-18,10-Apr-18,8,Model 3 LR,6,0.7,311,No,6,9,250,310,never,a few times a year,never,80%,0.02
Asia Pacific & Europe (excl UK),20-Nov-13,18-Sep-14,302,Model S 85,33366,110.1,393,No,33366,303,212,400,twice a month,weekly,once or twice a year,80%,92.09
Asia Pacific & Europe (excl UK),29-Mar-14,18-Sep-14,173,Model S 85,32000,183.9,392,No,32000,174,218,400,twice a week,twice a month,never,,90.93
